activity_type,sum,count,score,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,disability,final_result,study_status,withdrawal_status,assessment_engagement_score,submission_timeliness,score_per_weight,module_engagement_rate,repeat_student,performance_by_registration,weighted_engagement,cumulative_score,engagement_consistency,learning_pace,engagement_dropoff,activity_diversity,improvement_rate,id_student,study_method_preference,kmeans_cluster
dataplus,13955,3310,61.8,M,Scotland,HE Qualification,80-90%,55<=,0.0,N,Pass,finished,didn't withdraw,64641.42857142857,-2.6,3.225778522552716,1.4822092405735527,0.0,-1.211764705882353,1292828.5714285714,1103.0,491.833817667798,5.514285714285714,43.64705882352941,7.0,0.5,6516,Informational,0
forumng,1978,916,87.3076923076923,M,London Region,HE Qualification,30-40%,55<=,0.3076923076923077,N,Withdrawn,unfinished,late withdrawal,3234.846153846154,-18.53846153846154,7.06563475794245,0.1943066438986417,0.3076923076923077,-1.1656016876605113,43130.256410256414,1753.076923076923,70.77575734148283,-0.7692307692307693,5.947368421052632,9.0,-0.1578947368421052,8462,Collaborative,3
forumng,4670,980,82.0,M,East Anglian Region,HE Qualification,90-100%,55<=,0.0,N,Pass,finished,didn't withdraw,9867.5,-1.8,4.328166457198716,0.5808457711442786,0.0,-0.5189873417721519,197350.0,1269.4,193.8393101538476,6.466666666666667,18.89655172413793,6.0,0.1379310344827586,11391,Informational,4
forumng,644,236,82.5,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2.0,N,Fail,finished,didn't withdraw,628.6,3.5,28.62061403508772,0.1341666666666666,1.0,-1.7934782608695652,3928.75,884.25,31.358034310037247,-0.05,4.473684210526316,5.0,-1.9473684210526316,23629,Offline Content,3
forumng,7280,2440,73.75,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0.0,N,Pass,finished,didn't withdraw,7894.625,1.125,8.735009057971014,0.4228624535315984,0.0,-0.676605504587156,98682.8125,2409.25,181.1019181618592,2.890625,9.126984126984128,8.0,-0.1746031746031746,23698,Collaborative,4
forumng,6490,3366,93.9090909090909,M,Wales,A Level or Equivalent,50-60%,0-35,0.0,N,Distinction,finished,didn't withdraw,3751.3333333333335,0.2727272727272727,26.210526315789476,0.2446102819237147,0.0,-3.611888111888112,34103.030303030304,4711.363636363636,57.50052745494057,1.505050505050505,1.7142857142857142,9.0,-0.1122448979591836,23798,Collaborative,4
forumng,1472,656,62.5,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0.0,Y,Pass,finished,didn't withdraw,868.0,-41.25,62.5,0.1272475795297372,0.0,-2.6041666666666665,0.0,1535.0,35.11278686487929,1.875,2.0638297872340425,6.0,-0.425531914893617,24186,Collaborative,1
externalquiz,13944,5173,76.28571428571429,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1.0,N,Pass,finished,didn't withdraw,35646.555555555555,1.8571428571428568,4.226400062326512,0.9183955739972336,1.0,-1.4393530997304582,1018473.015873016,2457.1428571428573,245.2565477078,3.3492063492063493,12.403225806451612,9.0,-0.3225806451612903,24213,Collaborative,0
forumng,6408,2070,88.88888888888889,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0.0,N,Distinction,finished,didn't withdraw,5079.285714285715,-39.66666666666666,88.88888888888889,0.3897099069512862,0.0,-1.4109347442680775,0.0,2855.555555555556,114.95194347533128,1.238095238095238,5.725806451612903,7.0,0.0,24391,Collaborative,1
forumng,2495,1150,46.8,F,South Region,Lower Than A Level,60-70%,0-35,0.0,N,Pass,finished,didn't withdraw,4295.142857142857,7.4,2.436084345761765,0.2650026553372278,0.0,-2.752941176470588,85902.85714285714,836.2,71.94097720826895,5.485714285714286,4.705882352941177,7.0,0.2058823529411764,24734,Informational,4
