id_student,code_module,code_presentation,activity_type,sum,count,assessment_type,date,weight,date_submitted,is_banked,score,date_registration,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,module_presentation_length,study_status,withdrawal_status,assessment_engagement_score,submission_timeliness,score_per_weight,module_engagement_rate,repeat_student,performance_by_registration,banked_assessment_ratio,time_since_registration,weighted_engagement,cumulative_score,engagement_consistency,learning_pace,engagement_dropoff,activity_diversity,improvement_rate,study_method_preference
6516,AAA,2014J,dataplus,13955,3310,TMA,114.2,20.0,111.6,0,61.8,-52.0,M,Scotland,HE Qualification,80-90%,55<=,0.0,60.0,N,Pass,269.0,finished,didn't withdraw,64641.42857142857,-2.6,3.225778522552716,1.4822092405735527,0.0,-1.211764705882353,0.0,166.2,1292828.5714285714,1103.0,491.833817667798,5.514285714285714,43.64705882352941,7.0,0.5,Informational
8462,DDD,2013J,forumng,1978,916,TMA,56.30769230769231,13.076923076923077,37.76923076923077,0,87.3076923076923,-106.53846153846153,M,London Region,HE Qualification,30-40%,55<=,0.3076923076923077,80.76923076923077,N,Withdrawn,261.3076923076923,unfinished,late withdrawal,3234.846153846154,-18.53846153846154,7.06563475794245,0.19430664389864177,0.3076923076923077,-1.1656016876605113,0.3076923076923077,162.84615384615384,43130.256410256414,1753.076923076923,70.77575734148283,-0.7692307692307693,5.947368421052632,9.0,-0.15789473684210525,Collaborative
11391,AAA,2013J,forumng,4670,980,TMA,114.2,20.0,112.4,0,82.0,-159.0,M,East Anglian Region,HE Qualification,90-100%,55<=,0.0,240.0,N,Pass,268.0,finished,didn't withdraw,9867.5,-1.8,4.328166457198716,0.5808457711442786,0.0,-0.5189873417721519,0.0,273.2,197350.0,1269.4,193.8393101538476,6.466666666666667,18.896551724137932,6.0,0.13793103448275862,Informational
23629,BBB,2013B,forumng,644,236,CMA,52.25,6.25,55.75,0,82.5,-47.0,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2.0,60.0,N,Fail,240.0,finished,didn't withdraw,628.6,3.5,28.62061403508772,0.13416666666666666,1.0,-1.7934782608695652,0.0,99.25,3928.75,884.25,31.358034310037247,-0.05,4.473684210526316,5.0,-1.9473684210526314,Offline Content
23698,CCC,2014J,forumng,7280,2440,CMA,118.625,12.5,119.75,0,73.75,-110.0,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0.0,120.0,N,Pass,269.0,finished,didn't withdraw,7894.625,1.125,8.735009057971014,0.42286245353159846,0.0,-0.676605504587156,0.0,228.625,98682.8125,2409.25,181.1019181618592,2.890625,9.126984126984127,8.0,-0.1746031746031746,Collaborative
23798,BBB,2013J,forumng,6490,3366,TMA,120.18181818181819,9.090909090909092,120.45454545454545,0,93.9090909090909,-27.0,M,Wales,A Level or Equivalent,50-60%,0-35,0.0,60.0,N,Distinction,268.0,finished,didn't withdraw,3751.3333333333335,0.2727272727272727,26.210526315789473,0.24461028192371476,0.0,-3.611888111888112,0.0,147.1818181818182,34103.030303030304,4711.363636363636,57.50052745494057,1.505050505050505,1.7142857142857142,9.0,-0.11224489795918367,Collaborative
24186,GGG,2014B,forumng,1472,656,CMA,201.875,0.0,160.625,0,62.5,-25.0,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0.0,30.0,Y,Pass,241.0,finished,didn't withdraw,868.0,-41.25,62.5,0.1272475795297372,0.0,-2.6041666666666665,0.0,226.875,0.0,1535.0,35.11278686487929,1.875,2.0638297872340425,6.0,-0.425531914893617,Collaborative
24213,DDD,2014B,externalquiz,13944,5173,TMA,123.85714285714286,28.571428571428573,125.71428571428571,0,76.28571428571429,-54.0,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1.0,60.0,N,Pass,241.0,finished,didn't withdraw,35646.555555555555,1.8571428571428572,4.226400062326512,0.9183955739972337,1.0,-1.4393530997304582,0.0,177.85714285714286,1018473.0158730159,2457.1428571428573,245.25654770780002,3.3492063492063493,12.403225806451612,9.0,-0.3225806451612903,Collaborative
24391,GGG,2013J,forumng,6408,2070,CMA,192.44444444444446,0.0,152.77777777777777,0,88.88888888888889,-64.0,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0.0,30.0,N,Distinction,261.0,finished,didn't withdraw,5079.285714285715,-39.666666666666664,88.88888888888889,0.38970990695128627,0.0,-1.4109347442680775,0.0,256.44444444444446,0.0,2855.5555555555557,114.95194347533128,1.2380952380952381,5.725806451612903,7.0,0.0,Collaborative
24734,AAA,2014J,forumng,2495,1150,TMA,114.2,20.0,121.6,0,46.8,-18.0,F,South Region,Lower Than A Level,60-70%,0-35,0.0,60.0,N,Pass,269.0,finished,didn't withdraw,4295.142857142857,7.4,2.436084345761765,0.26500265533722783,0.0,-2.7529411764705882,0.0,132.2,85902.85714285714,836.2,71.94097720826895,5.485714285714286,4.705882352941177,7.0,0.20588235294117646,Informational
25107,BBB,2013B,forumng,28182,5753,TMA,112.54545454545455,9.090909090909092,114.36363636363636,0,77.36363636363636,-73.0,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0.0,120.0,N,Pass,240.0,finished,didn't withdraw,67533.55555555556,1.8181818181818181,25.018341307814993,1.1861111111111111,0.0,-1.0744949494949494,0.0,185.54545454545453,613941.4141414141,3926.0,527.4667800739992,1.2828282828282829,16.153061224489797,9.0,-0.45918367346938777,Collaborative
25150,EEE,2014B,forumng,8412,2028,TMA,92.5,25.0,91.5,0,84.25,-47.0,M,North Western Region,HE Qualification,90-100%,0-35,0.0,60.0,N,Pass,241.0,finished,didn't withdraw,37546.375,-1.0,3.4954361054766734,1.0907676348547717,0.0,-1.8315217391304348,0.0,139.5,938659.375,1398.75,401.42727216609194,3.71875,40.935483870967744,8.0,-0.6129032258064516,Offline Content
25261,CCC,2014J,forumng,997,326,CMA,18.0,2.0,21.0,0,78.0,-114.0,F,Scotland,HE Qualification,40-50%,0-35,0.0,60.0,N,Withdrawn,269.0,unfinished,normal withdrawal,12839.857142857143,3.0,26.0,0.5294742432288901,0.0,-0.6902654867256637,0.0,132.0,25679.714285714286,312.0,170.82042924550635,0.0,83.83333333333333,7.0,0.0,Offline Content
25572,DDD,2014J,forumng,226,118,TMA,30.5,7.5,30.5,0,55.0,-68.0,F,London Region,HE Qualification,10-20,0-35,2.0,150.0,N,Withdrawn,262.0,unfinished,normal withdrawal,308.6666666666667,0.0,8.03030303030303,0.07188295165394402,1.0,-0.8208955223880596,0.0,98.5,2315.0,370.0,16.996434563719177,1.75,3.6363636363636362,6.0,-4.545454545454546,Offline Content
25997,BBB,2014B,homepage,26,14,CMA,43.5,9.5,46.5,0,86.5,-139.0,F,London Region,A Level or Equivalent,20-30%,0-35,2.0,60.0,N,Withdrawn,234.0,unfinished,late withdrawal,36.5,3.0,26.92105263157895,0.027777777777777776,1.0,-0.6268115942028986,0.0,182.5,346.75,223.0,6.3508529610858835,-1.25,3.6666666666666665,2.0,-9.0,Offline Content
26023,GGG,2013J,forumng,7074,2385,CMA,192.44444444444446,0.0,149.11111111111111,0,88.0,-37.0,M,North Western Region,Lower Than A Level,10-20,35-55,0.0,30.0,N,Pass,261.0,finished,didn't withdraw,6395.285714285715,-43.333333333333336,88.0,0.4302134646962233,0.0,-2.4444444444444446,0.0,229.44444444444446,0.0,2851.222222222222,97.71558936797112,1.2063492063492063,5.064516129032258,7.0,-0.43548387096774194,Collaborative
26192,AAA,2014J,dataplus,11115,3295,TMA,114.2,20.0,113.0,0,86.2,-38.0,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0.0,60.0,N,Distinction,269.0,finished,didn't withdraw,59553.57142857143,-1.2,4.587655355397291,1.1805629314922996,0.0,-2.32972972972973,0.0,152.2,1191071.4285714286,1550.2,382.5636652678784,5.571428571428571,33.588235294117645,7.0,0.02941176470588235,Informational
26211,FFF,2014B,dataplus,182460,29280,CMA,171.0,8.333333333333334,110.16666666666667,0,89.25,-25.0,F,London Region,HE Qualification,20-30%,35-55,0.0,90.0,N,Pass,241.0,finished,didn't withdraw,609188.2666666667,-60.833333333333336,57.53703703703703,4.206085753803596,0.0,-3.71875,0.0,196.0,5076568.888888889,8102.833333333333,2093.6879653113033,0.7277777777777777,46.513966480446925,15.0,-0.05586592178770949,Interactive
26247,FFF,2013J,forumng,478,148,TMA,19.0,12.5,18.0,0,88.0,-47.0,M,South East Region,HE Qualification,80-90%,35-55,2.0,60.0,N,Fail,268.0,finished,didn't withdraw,1366.3333333333333,-1.0,6.518518518518518,0.19817578772802652,1.0,-1.9130434782608698,0.0,66.0,17079.166666666668,440.0,48.95264151311052,0.0,16.75,9.0,0.0,Offline Content
26315,BBB,2014J,forumng,12255,3085,TMA,107.2,20.0,101.0,0,51.4,-92.0,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1.0,60.0,N,Pass,262.0,finished,didn't withdraw,31387.3,-6.2,2.665512265512265,0.935496183206107,1.0,-0.5648351648351648,0.0,199.2,627746.0,1285.9,305.98501030379293,3.92,20.244897959183675,10.0,1.2448979591836735,Informational
26734,BBB,2014J,forumng,630,336,TMA,61.0,10.0,76.33333333333333,0,74.33333333333333,-101.0,M,South West Region,A Level or Equivalent,20-30%,0-35,0.0,90.0,Y,Fail,262.0,finished,didn't withdraw,513.3333333333334,15.333333333333334,36.16594516594517,0.089058524173028,0.0,-0.7433333333333333,0.0,162.0,5133.333333333333,1053.3333333333333,22.54226799046285,4.62962962962963,2.4615384615384617,9.0,-1.4615384615384615,Offline Content
27116,CCC,2014J,forumng,14776,5664,CMA,118.625,12.5,119.625,0,93.0,-156.0,M,Yorkshire Region,HE Qualification,70-80%,0-35,0.0,120.0,N,Distinction,269.0,finished,didn't withdraw,24029.0,1.0,10.5631038647343,0.7629078893019413,0.0,-0.6000000000000001,0.0,274.625,300362.5,3400.125,170.8284884232253,2.5833333333333335,6.28169014084507,9.0,-0.07042253521126761,Collaborative
